ID,Paragraph A,Paragraph B,,,,,,,,,,Multi hop question
rmcmilla,"McMillan's career has included studies of variable stars, statistics of stellar populations, interstellar dust, interstellar magnetic fields, planetary atmospheres, Doppler shift spectroscopy of stars, astronomical instrumentation, and surveys of asteroids. He has worked in the last four disciplines from 1979 to the present while at the Lunar and Planetary Laboratory at the University of Arizona. Some of McMillan's peer-reviewed first-author papers from the 1970s were still being cited and used as many as 40 years later.","McMillan's career has included studies of variable stars, statistics of stellar populations, interstellar dust, interstellar magnetic fields, planetary atmospheres, Doppler shift spectroscopy of stars, astronomical instrumentation, and surveys of asteroids. He has worked in the last four disciplines from 1979 to the present while at the Lunar and Planetary Laboratory at the University of Arizona. Some of McMillan's peer-reviewed first-author papers from the 1970s were still being cited and used as many as 40 years later.",,,,,,,,,,Who is the only researcher worked at the Lunar and Planetary Laboratory at the University of Arizona and whose first-author papers from the 1970s were still being cited and used as many as 40 years later ? 
,,,,,,,,,,,,Who is the scientist al the University of Arizona who worked both in the area of variable stars and surveys of asteroids ? 
,,,,,,,,,,,,Whic University has a scientis who worked both in the area of interstellar magnetic fields  and Doppler shift spectroscopy of stars ? 
varnes,"My research centers on the search for new physics at high energies, using data from the ATLAS experiment at the Large Hadron Collider (LHC). My work has included searches  for a new class of particles called ""vector-like quarks"" whose existence could explain some of the odd features of our current theories of fundamental particle physics, and my present focus is on measuring the cross section for the production of four top quarks in a single proton-proton collision, a process that has not yet been observed.  I am also involved in the development of electronics for a track-based trigger system that will help to cope with the data rates when the LHC is upgraded to run at much higher intensity in the coming years.","My research centers on the search for new physics at high energies, using data from the ATLAS experiment at the Large Hadron Collider (LHC). My work has included searches  for a new class of particles called ""vector-like quarks"" whose existence could explain some of the odd features of our current theories of fundamental particle physics, and my present focus is on measuring the cross section for the production of four top quarks in a single proton-proton collision, a process that has not yet been observed.  I am also involved in the development of electronics for a track-based trigger system that will help to cope with the data rates when the LHC is upgraded to run at much higher intensity in the coming years.",,,,,,,,,,Who is the researcher who used data from the ATLAS  experiment at LHC and also worked in searching for vector-like-quarks ?
,,,,,,,,,,,,What is the present focus of a researcher whos works included search for new physics at high energies ? 
,,,,,,,,,,,,Who is the scientis worked in the develoopment of electronics for a tack-based trigger system and his research ould explain some of the odd features of our current theories of fundamental particle physics ? 
echeu,"I am working in the Experimental High Energy Physics group where we search for the most fundamental particles in nature. My current research interests involve searches for dark matter and physics beyond the Standard Model. If we were to discover such phenomenon, it would have a profound impact on understanding the origins of matter, as well as improving our knowledge of the Universe. My research takes place primarily at the ATLAS detector, which is one of the experiments at the Large Hadron Collider or LHC.","I am working in the Experimental High Energy Physics group where we search for the most fundamental particles in nature. My current research interests involve searches for dark matter and physics beyond the Standard Model. If we were to discover such phenomenon, it would have a profound impact on understanding the origins of matter, as well as improving our knowledge of the Universe. My research takes place primarily at the ATLAS detector, which is one of the experiments at the Large Hadron Collider or LHC.",,,,,,,,,,Who is working in the Experimental High Energy Physics group and involved in search for the most fundamental particles in nature ? 
,,,,,,,,,,,,What is the current research interest of a reserarcher who has been working in the  Experimental High Energy Physics group ? 
,,,,,,,,,,,,Where does the reserach takes place primarily of a scientist whose work would have a profound impact on understanding the origins of matter ? 
hruby,"Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor. He became Associate Professor with Tenure in 1972, Full Professor in 1977 and Regents Professor in 1989.","Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor. He became Associate Professor with Tenure in 1972, Full Professor in 1977 and Regents Professor in 1989.",,,,,,,,,,Who is the professor in the Department of Chemistry and Biochemistry at the University of Arizona who received his B.S and M.S at the University of North Dakota ? 
,,,,,,,,,,,,"From which University the Professor reveived his Ph.D who was an instructor with Vincent duVigneaud, Nobel Laureate ? "
,,,,,,,,,,,,After how many years Hurby became Full Professor from the position of Associate Professor ? 
guyon,"Olivier Guyon develops and validates innovative techniques for detecting and characterizing Extrasolar planets on current and future ground and space-based telescopes. Olivier's research includes coronagraphy, wavefront sensing techniques for Adaptive Optics, and astrometry. He developed the Phase-Induced Amplitude Apodization (PIAA) coronagraph, an efficient optical device to mask light from a star while preserving light from planets.","Olivier Guyon develops and validates innovative techniques for detecting and characterizing Extrasolar planets on current and future ground and space-based telescopes. Olivier's research includes coronagraphy, wavefront sensing techniques for Adaptive Optics, and astrometry. He developed the Phase-Induced Amplitude Apodization (PIAA) coronagraph, an efficient optical device to mask light from a star while preserving light from planets.",,,,,,,,,,Who is the scientist who evelops and validates innovative techniques for detecting and characterizing Extrasolar planets and also worked in coronagraphy ? 
,,,,,,,,,,,,Who is the researcher who worked both in coronagraphy and astrometry ? 
,,,,,,,,,,,,What is the purpose of PIAA coronagraph which is development by a scientist who worked in the the field of astrometry ? 
