ID,titleA,ParagraphA,titleB,ParagraphB
rmcmilla,rmcmilla's biography,"McMillan's career has included studies of variable stars,  statistics of stellar populations, interstellar dust, interstellar magnetic fields, planetary atmospheres, Doppler shift spectroscopy of stars, astronomical instrumentation, and surveys of asteroids. He has worked in the last four disciplines from 1979 to the present while at the Lunar and Planetary Laboratory at the University of Arizona. Some of McMillan's peer-reviewed first-author papers from the 1970s were still being cited and used as many as 40 years later.",rmcmilla's articles,"McMillan's career has included studies of variable stars, statistics of stellar populations, interstellar dust, interstellar magnetic fields, planetary atmospheres, Doppler shift spectroscopy of stars, astronomical instrumentation, and surveys of asteroids. He has worked in the last four disciplines from 1979 to the present while at the Lunar and Planetary Laboratory at the University of Arizona. Some of McMillan's peer-reviewed first-author papers from the 1970s were still being cited and used as many as 40 years later."
echeu,echeu's biography,"I am working in the Experimental High Energy Physics group where we search for the most fundamental particles in nature. My current research interests involve searches for dark matter and physics beyond the Standard Model. If we were to discover such phenomenon, it would have a profound impact on understanding the origins of matter, as well as improving our knowledge of the Universe. My research takes place primarily at the ATLAS detector, which is one of the experiments at the Large Hadron Collider or LHC.",echeu's articles,"I am working in the Experimental High Energy Physics group where we search for the most fundamental particles in nature. My current research interests involve searches for dark matter and physics beyond the Standard Model. If we were to discover such phenomenon, it would have a profound impact on understanding the origins of matter, as well as improving our knowledge of the Universe. My research takes place primarily at the ATLAS detector, which is one of the experiments at the Large Hadron Collider or LHC."
hruby,hruby's biography,"Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor. He became Associate Professor with Tenure in 1972, Full Professor in 1977 and Regents Professor in 1989.",hruby's articles,"Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor. He became Associate Professor with Tenure in 1972, Full Professor in 1977 and Regents Professor in 1989."
guyon,guyon's biography,"Olivier Guyon develops and validates innovative techniques for detecting and characterizing Extrasolar planets on current and future ground and space-based telescopes. Olivier's research includes coronagraphy, wavefront sensing techniques for Adaptive Optics, and astrometry. He developed the Phase-Induced Amplitude Apodization (PIAA) coronagraph, an efficient optical device to mask light from a star while preserving light from planets.",guyon's articles,"Olivier Guyon develops and validates innovative techniques for detecting and characterizing Extrasolar planets on current and future ground and space-based telescopes. Olivier's research includes coronagraphy, wavefront sensing techniques for Adaptive Optics, and astrometry. He developed the Phase-Induced Amplitude Apodization (PIAA) coronagraph, an efficient optical device to mask light from a star while preserving light from planets."
nnp,nnp's biography,"Nasser Peyghambarian received his Ph.D in solid-state Physics from Indiana University in 1982, specializing in optical properties of semiconductors. He joined the University of Arizona in 1982 where he is currently a Professor at both the College of Optical Sciences and the Department of Materials Science & Engineering. He is an adjunct professor at the Electrical Center for Integrated Access Networks, 2008-present. He was also the Director of an NSF IUCRC on Optoelectronic Devices, Integration and Packaging, 1991-2002. He is also Chair of Photonics and Lasers at the University of Arizona as well as Director of the Photonics Initiative. He has over 500 publications in refereed journals and more than 25 patents. His research interests include optical networks and optical communication, fiber optics, fiber lasers and amplifiers, organic photonics, 3D holographic display and 3D telepresence, nonlinear photonics, optical modulators and switches, laser spectroscopy, nanostructures, and quantum dots. He is the Founder of TIPD, LLC, and NP Photonics, Inc. He is the recipient of the U of A 2007 Technology Innovation Award, International Francqui Chair, Belgium 1998-1999, TRW Young Faculty Award, and 3M Company's Young Faculty Award. He is a Fellow of the American Association for the Advancement of Science, the Optical Society of America (OSA), the Society for optical engineers (SPIE), and the American Physical Society (APS). ",nnp's articles,"Nasser Peyghambarian received his Ph.D in solid-state Physics from Indiana University in 1982, specializing in optical properties of semiconductors. He joined the University of Arizona in 1982 where he is currently a Professor at both the College of Optical Sciences and the Department of Materials Science & Engineering. He is an adjunct professor at the Electrical Center for Integrated Access Networks, 2008-present. He was also the Director of an NSF IUCRC on Optoelectronic Devices, Integration and Packaging, 1991-2002. He is also Chair of Photonics and Lasers at the University of Arizona as well as Director of the Photonics Initiative. He has over 500 publications in refereed journals and more than 25 patents. His research interests include optical networks and optical communication, fiber optics, fiber lasers and amplifiers, organic photonics, 3D holographic display and 3D telepresence, nonlinear photonics, optical modulators and switches, laser spectroscopy, nanostructures, and quantum dots. He is the Founder of TIPD, LLC, and NP Photonics, Inc. He is the recipient of the U of A 2007 Technology Innovation Award, International Francqui Chair, Belgium 1998-1999, TRW Young Faculty Award, and 3M Company's Young Faculty Award. He is a Fellow of the American Association for the Advancement of Science, the Optical Society of America (OSA), the Society for optical engineers (SPIE), and the American Physical Society (APS). "
hruby,hruby's biography,"Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor. He became Associate Professor with Tenure in 1972, Full Professor in 1977 and Regents Professor in 1989.",hruby's articles,"Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor. He became Associate Professor with Tenure in 1972, Full Professor in 1977 and Regents Professor in 1989."
guyon,guyon's biography,"Olivier Guyon develops and validates innovative techniques for detecting and characterizing Extrasolar planets on current and future ground and space-based telescopes. Olivier's research includes coronagraphy, wavefront sensing techniques for Adaptive Optics, and astrometry. He developed the Phase-Induced Amplitude Apodization (PIAA) coronagraph, an efficient optical device to mask light from a star while preserving light from planets.",guyon's articles,"Olivier Guyon develops and validates innovative techniques for detecting and characterizing Extrasolar planets on current and future ground and space-based telescopes. Olivier's research includes coronagraphy, wavefront sensing techniques for Adaptive Optics, and astrometry. He developed the Phase-Induced Amplitude Apodization (PIAA) coronagraph, an efficient optical device to mask light from a star while preserving light from planets."
grieke,grieke's biography,"Rieke has made contributions in:
1.) the starburst phenomenon, where a galaxy's properties are dominated by a very violent and short episode of star formation;
2.) the Galactic Center, the ""local"" prototype for active galactic nuclei;
3.) the origin of the infrared outputs of other active galactic nuclei;
4.) characterizing planetary debris disks, signposts for other planetary systems that cannot be detected in other ways;
5.) studying members of our own planetary system, among other topics. He was the Principal Investigator for the Multiband Infrared Photometer for Spitzer (MIPS).
He and his wife Marcia (NIRCam PI) talk a lot about the Webb telescope. In addition, they enjoy travel and photography. Every year they assemble a calendar of travel pictures taken in the previous year and distribute it to their friends on the Webb telescope project.",grieke's articles,"Rieke has made contributions in:
1.) the starburst phenomenon, where a galaxy's properties are dominated by a very violent and short episode of star formation;
2.) the Galactic Center, the ""local"" prototype for active galactic nuclei;
3.) the origin of the infrared outputs of other active galactic nuclei;
4.) characterizing planetary debris disks, signposts for other planetary systems that cannot be detected in other ways;
5.) studying members of our own planetary system, among other topics. He was the Principal Investigator for the Multiband Infrared Photometer for Spitzer (MIPS).
He and his wife Marcia (NIRCam PI) talk a lot about the Webb telescope. In addition, they enjoy travel and photography. Every year they assemble a calendar of travel pictures taken in the previous year and distribute it to their friends on the Webb telescope project."
kjohns,kjohns's biography,"My primary interest is searching for Beyond the Standard Model particles using the ATLAS experiment at the CERN Large Hadron Collider (LHC). We are searching for new physics decaying into four-top quarks and new long-lived particles that decay in the Muon Spectrometer. By 2021, we will have finished our ATLAS Phase 1 deliverables: 4500 front-end boards for Micromegas detectors in the New Small Wheel and firmware for the Liquid Argon (LAr) trigger system electronics. We have started developing firmware for the LAr calorimeter readout and for the Hardware Track Trigger (HTT) as part of our Phase 2 responsibilities. We are all anxious to begin collecting data again at ATLAS in 2022. There are many research opportunities for students. If you are an undergraduate or graduate student with interest in doing physics research or electronics with ATLAS, please come talk with me.",kjohns's articles,"My primary interest is searching for Beyond the Standard Model particles using the ATLAS experiment at the CERN Large Hadron Collider (LHC). We are searching for new physics decaying into four-top quarks and new long-lived particles that decay in the Muon Spectrometer. By 2021, we will have finished our ATLAS Phase 1 deliverables: 4500 front-end boards for Micromegas detectors in the New Small Wheel and firmware for the Liquid Argon (LAr) trigger system electronics. We have started developing firmware for the LAr calorimeter readout and for the Hardware Track Trigger (HTT) as part of our Phase 2 responsibilities. We are all anxious to begin collecting data again at ATLAS in 2022. There are many research opportunities for students. If you are an undergraduate or graduate student with interest in doing physics research or electronics with ATLAS, please come talk with me."
jvm2,jvm2's biography,"Mathematical modeling and simulation of photonics systems including semiconductor lasers, fiber lasers, photonic Bragg and photonic crystal fibers. Fndamental theory of semiconductor lasers including microscopic physics. Modeling high-power femtosecond atmospheric light strings.
Nonlinear theory of partial differential equations and chaos synchronization in extended complex spatiotemporal interacting systems systems.
Sophisticated algorithm development for large scale computational photonics systems simulations including adaptive mesh refinement and parallelization on distributed and shared memory supercomputer platforms",jvm2's articles,"Mathematical modeling and simulation of photonics systems including semiconductor lasers, fiber lasers, photonic Bragg and photonic crystal fibers. Fndamental theory of semiconductor lasers including microscopic physics. Modeling high-power femtosecond atmospheric light strings.
Nonlinear theory of partial differential equations and chaos synchronization in extended complex spatiotemporal interacting systems systems.
Sophisticated algorithm development for large scale computational photonics systems simulations including adaptive mesh refinement and parallelization on distributed and shared memory supercomputer platforms"
